University Name,State,IPEDS,year,rank
Princeton University,NJ,186131,2020,1
Massachusetts Institute of Technology,MA,166683,2020,3
Harvard University,MA,166027,2020,2
Stanford University,CA,243744,2020,6
Yale University,CT,130794,2020,3
University of Chicago,IL,144050,2020,6
Duke University,NC,198419,2020,10
Johns Hopkins University,MD,162928,2020,10
Northwestern University,IL,147767,2020,9
University of Pennsylvania,PA,215062,2020,6
Princeton University,NJ,186131,2021,1
Massachusetts Institute of Technology,MA,166683,2021,4
Harvard University,MA,166027,2021,2
Stanford University,CA,243744,2021,6
Yale University,CT,130794,2021,4
University of Chicago,IL,144050,2021,6
Duke University,NC,198419,2021,12
Johns Hopkins University,MD,162928,2021,9
Northwestern University,IL,147767,2021,9
University of Pennsylvania,PA,215062,2021,8
Princeton University,NJ,186131,2022,1
Massachusetts Institute of Technology,MA,166683,2022,2
Harvard University,MA,166027,2022,2
Stanford University,CA,243744,2022,6
Yale University,CT,130794,2022,5
University of Chicago,IL,144050,2022,6
Duke University,NC,198419,2022,9
Johns Hopkins University,MD,162928,2022,9
Northwestern University,IL,147767,2022,9
University of Pennsylvania,PA,215062,2022,8
Princeton University,NJ,186131,2023,1
Massachusetts Institute of Technology,MA,166683,2023,2
Harvard University,MA,166027,2023,3
Stanford University,CA,243744,2023,3
Yale University,CT,130794,2023,3
University of Chicago,IL,144050,2023,6
Duke University,NC,198419,2023,10
Johns Hopkins University,MD,162928,2023,7
Northwestern University,IL,147767,2023,10
University of Pennsylvania,PA,215062,2023,7
Princeton University,NJ,186131,2024,1
Massachusetts Institute of Technology,MA,166683,2024,2
Harvard University,MA,166027,2024,3
Stanford University,CA,243744,2024,3
Yale University,CT,130794,2024,5
University of Chicago,IL,144050,2024,12
Duke University,NC,198419,2024,7
Johns Hopkins University,MD,162928,2024,9
Northwestern University,IL,147767,2024,9
University of Pennsylvania,PA,215062,2024,6
Princeton University,NJ,186131,2025,1
Massachusetts Institute of Technology,MA,166683,2025,2
Harvard University,MA,166027,2025,3
Stanford University,CA,243744,2025,4
Yale University,CT,130794,2025,5
University of Chicago,IL,144050,2025,11
Duke University,NC,198419,2025,6
Johns Hopkins University,MD,162928,2025,6
Northwestern University,IL,147767,2025,6
University of Pennsylvania,PA,215062,2025,10
Princeton University,NJ,186131,2026,1
Massachusetts Institute of Technology,MA,166683,2026,2
Harvard University,MA,166027,2026,3
Stanford University,CA,243744,2026,4
Yale University,CT,130794,2026,4
University of Chicago,IL,144050,2026,6
Duke University,NC,198419,2026,7
Johns Hopkins University,MD,162928,2026,7
Northwestern University,IL,147767,2026,7
University of Pennsylvania,PA,215062,2026,7
